"ANOMES_VENDA","CD_PRODUTO","DS_PRODUTO","QTD_SAIDA"
"202503","53056","SABON PALMOLIVE 85G HIDR INTENSIVA",877
"202504","30812","OVO GAL LOCKS BJ C/30 PLAST",5403
"202505","16871","DETERG LIMPOL NEUTRO FR 500ML",2751
"202501","28627","OLEO SOJA COAMO PET 900ML",9138
"202503","16871","DETERG LIMPOL NEUTRO FR 500ML",2810
"202503","367","PAO FRANCES",8174
"202504","28151","CAFE PO CABOCLO PCT 500G TRAD",2040
"202504","367","PAO FRANCES",8100
"202505","225","COXA/SOBREC C/DORSO PCTAO KG",5318
"202505","30812","OVO GAL LOCKS BJ C/30 PLAST",6098
"202505","53056","SABON PALMOLIVE 85G HIDR INTENSIVA",442
"202502","28627","OLEO SOJA COAMO PET 900ML",7935
"202503","28151","CAFE PO CABOCLO PCT 500G TRAD",1744
"202504","27090","REFRIG COCA COLA PET 2L",4256
"202504","28627","OLEO SOJA COAMO PET 900ML",7145
"202504","16871","DETERG LIMPOL NEUTRO FR 500ML",3115
"202505","28627","OLEO SOJA COAMO PET 900ML",6892
"202505","27090","REFRIG COCA COLA PET 2L",4034
"202501","28151","CAFE PO CABOCLO PCT 500G TRAD",1543
"202501","367","PAO FRANCES",8541
"202502","53056","SABON PALMOLIVE 85G HIDR INTENSIVA",790
"202503","30812","OVO GAL LOCKS BJ C/30 PLAST",4204
"202503","28627","OLEO SOJA COAMO PET 900ML",6182
"202504","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP",936
"202505","28151","CAFE PO CABOCLO PCT 500G TRAD",2017
"202501","16871","DETERG LIMPOL NEUTRO FR 500ML",2113
"202502","179","ACEM BOVINO POSTA KG",5191
"202502","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP",1385
"202502","367","PAO FRANCES",7619
"202503","225","COXA/SOBREC C/DORSO PCTAO KG",6070
"202505","179","ACEM BOVINO POSTA KG",6609
"202501","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP",1560
"202502","30812","OVO GAL LOCKS BJ C/30 PLAST",5426
"202502","28151","CAFE PO CABOCLO PCT 500G TRAD",1728
"202503","179","ACEM BOVINO POSTA KG",6197
"202504","179","ACEM BOVINO POSTA KG",5909
"202504","225","COXA/SOBREC C/DORSO PCTAO KG",4533
"202504","53056","SABON PALMOLIVE 85G HIDR INTENSIVA",362
"202501","179","ACEM BOVINO POSTA KG",5191
"202501","53056","SABON PALMOLIVE 85G HIDR INTENSIVA",921
"202503","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP",1148
"202505","367","PAO FRANCES",8752
"202501","225","COXA/SOBREC C/DORSO PCTAO KG",6797
"202501","27090","REFRIG COCA COLA PET 2L",4967
"202501","30812","OVO GAL LOCKS BJ C/30 PLAST",8373
"202502","16871","DETERG LIMPOL NEUTRO FR 500ML",1985
"202502","27090","REFRIG COCA COLA PET 2L",5031
"202502","225","COXA/SOBREC C/DORSO PCTAO KG",5037
"202503","27090","REFRIG COCA COLA PET 2L",4989
"202505","52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP",1497
